,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
1114,프렌시아의 꽃,"성은태,김룸,김레인",로판,마계 프렌시아의 순수 혈통 마녀로 되살아난 사빈. 그런데 얼굴도 이름도 모르는 마왕의 반려자가 되기 위한 시험을 치러야 한다고? 목표는 '안전 귀가'였지만 마음처럼 풀리지 않는 과정들. 세상에서 버림 받은 꽃 사빈은 마녀 레아 블레샤로서 프렌시아에서 새로운 삶을 꽃피워 나간다.,https://page.kakao.com/home?seriesId=54517661,https://dn-img-page.kakao.com/download/resource?kid=bwSOur/hyzTXgjEig/xkcH1rY7gOwc8oPrghgemK&filename=th2,카카오페이지,"['과정', '반려자', '마녀', '마왕', '귀가']"
1115,라이온 하트,키다리스튜디오,드라마,"연기력은 출중하지만 여자치고는 너무 큰 키, 종종 남자로 착각 받는 낮은 목소리에 보는 오디션마다 낙방하는 여자 연극배우 한서원. 
인지도가 없어도 너무 없어 홧김에 대하 사극드라마에 성별을 속이고 오디션을 봤다가 파격적으로 캐스팅 되어버린다. 
그녀가 맡은 역할은 통일신라 시대의 '서공왕'이라는 인물. 
(작 중) 역사 속에서는 어린 나이에 즉위해 문화, 과학 분야에서 여러 업적을 남기지만 
상대등의 반란으로 젊은 나이에 안타까운 죽음을 맞이하는 비운의 왕이다. 
대망의 첫 촬영을 앞두고 서원은 시공을 초월하여 역사 속의 '서공왕'과 몸이 뒤바뀐다.",https://page.kakao.com/home?seriesId=55719981,https://dn-img-page.kakao.com/download/resource?kid=s5JfM/hyLjdZKfWK/H3moEFNjVFKB57sYlcQOFk&filename=th2,카카오페이지,"['역사', '서원', '즉위', '과학', '맞이']"
1116,황성 천하제일 컬렉션,황성,액션무협,"<황성 천하제일 컬렉션> 작품 구성

1. 무쌍일지 [개정판]
2. 북두제일인 [개정판]
3. 용쟁강호 [개정판]
4. 패군 [개정판]
5. 협기천추 [개정판]
6. 제검천하(원제:제검웅풍) [개정판]",https://page.kakao.com/home?seriesId=55891854,https://dn-img-page.kakao.com/download/resource?kid=cgpxPb/hyLi8ckEkn/kEkZvxUbaKcvzW2UALLuMK&filename=th2,카카오페이지,"['구성', '무협', '웅풍', '강호', '액션']"
1117,페이드,푸죠킹,BL,"공금을 횡령하다 이면계약서를 분실한 희재는 계약서를 주운 태경을 감시하다 스토커로 오해를 받는다. 졸지에 집착 얀데레가 되어버린 희재는 자존심이 상하지만 횡령을 숨기기 위해 자신이 태경을 짝사랑하고 있노라 고백한다. 그렇게 우스운 해프닝으로 마무리 될 줄 알았지만, 갑자기 태경이 서로를 제대로 알아가자며 희재의 번호를 묻는데... 오래 기다리셨습니다!! 푸죠킹 작가의 울트라 러브 코미디 <페이드> 등! 장!
*본 작품은 15세 이용가에 맞게 수정된 ""개정판""입니다.",https://page.kakao.com/home?seriesId=52587037,https://dn-img-page.kakao.com/download/resource?kid=q9ER8/hyqFctpNkU/8OlqWLEmMIq9SgoP5Qgtwk&filename=th2,카카오페이지,"['희재', '태경', '횡령', '개정판', '러브']"
1118,"황자, 네 무엇이 되고 싶으냐?","앤트스튜디오,목감기",로판,"""날 지옥으로 몰아넣은 장본인이 이런 보잘것없는 계집이라니. 하…… 차라리 모르는 게 나을 뻔했어.”

아인젠 카이트.
내가 써내려간 악역.
그가 나를 이야기 속으로 납치했다!

그런데 자기를 황제의 자리에 앉혀줘야 집에 보내준단다.  
그것도 내가 만든 주인공들을 거꾸로 쓰러뜨리고서!
스타 작가가 심혈을 기울여 집필한다 해도 도무지 말이 안 되는 이야기.


“나는 작가야! 내가 여기를 만들었듯, 네 소원 역시 이뤄 주겠다잖아!”
“마녀 주제에 깜찍한 수를 다 쓰는군. 네 눈에는 내가 협상을 하자는 것처럼 보이나?”

나, 이윤수.
장르 작가 인생 최고의 위기가 찾아왔다!",https://page.kakao.com/home?seriesId=51722274,https://dn-img-page.kakao.com/download/resource?kid=eqC1ZL/hynF0uXvML/L2E0TCYfuskDpKzJKrySJk&filename=th2,카카오페이지,"['이야기', '주인공', '주제', '소원', '스타']"
1119,까마귀 우는 밤,"아쿠아비트,우지혜",로맨스,"[매주 화요일 업데이트]

이 여자, 대체 뭐야?

액션이면 액션, 로맨스면 로맨스. 못하는 게 없는 대체 불가 톱 배우 천우강의 마음을 뺏어간 건, 다름 아닌 그의 집에 침입한 정체불명의 여자였다! “우리 다시 만날 수 있어요?” 이름도 알지 못하는 그녀를 그리며 상사병까지 걸린 우강. 그런 그의 앞에 여자는 경찰 박태이로서 다시 나타나는데…? 그녀와 함께 찾아온 위기의 그림자는 과연 우연일까? 비밀스러운 밤에서 시작되는 스릴 만점 로맨스, <까마귀 우는 밤> 시작합니다!

*원작 : 우지혜 [웹소설]까마귀 우는 밤",https://page.kakao.com/home?seriesId=55691490,https://dn-img-page.kakao.com/download/resource?kid=ct3uV/hyoXxSzr0F/Gl8n6mxbUP1d1h2XVZ5Rk1&filename=th2,카카오페이지,"['로맨스', '까마귀', '마음', '강의', '배우']"
1120,악마와 함께 춤을,닭고기,BL,"""반갑다, 친구야!""

세기를 뛰어넘어 오로지 '당신'만 찾으러 온 악마와
악마든 아니든 '당신'을 사랑하고픈 외로운 인간.
인간♥악마 세 커플과 함께 춤을!",https://page.kakao.com/home?seriesId=57475051,https://dn-img-page.kakao.com/download/resource?kid=cQG12/hy41MBByh3/912FQtPYECSbBDqRyi0Akk&filename=th2,카카오페이지,"['세기', '사랑', '악마', '친구', '커플']"
1121,손톱,"이남강,김기백",드라마,"전래동화 중에 그런 이야기가 있다.
아무데나 버린 손톱을 먹은 들쥐가 손톱주인과 똑같은
모습으로 나타난다는 이야기...

""7년 전 흔적도 없이 실종됐던 딸이 돌아왔다.""",https://page.kakao.com/home?seriesId=54096921,https://dn-img-page.kakao.com/download/resource?kid=bNeo1d/hyAToC5wxV/QgNFqK6i7eYkUlKaWHuxZK&filename=th2,카카오페이지,"['이야기', '들쥐', '실종', '주인', '흔적']"
1122,그런 게 아닙니다만,"강또,라임호",BL,"잘나가는 BL 작가, 이로는 부모님의 압박에 못 이겨 주류회사 「비어스」에 지원을 하게 된다. 변변한 스펙도 없었던 이로였으나, 실수로 자기소개서 대신 자신의 소설 미공개분을 제출하는 바람에 관심을 끌게 되어 최종합격을 해버리는데?! 특히 사장 백호령은 그 소설로 인해 이로에 대해 큰 착각을 하게 되고, 그 착각은 어느새 호감을 넘어 사랑이 되고 만다. 처음 맛보는 사회의 쓴맛에 적응을 하기도 전에 호령에게 단단히 코가 꿰어버린 이로의 첫 사회 생활, 과연 순탄하게 지속될 수 있을까?
*본 작품은 15세 이용가에 맞게 수정된 ""개정판""입니다.",https://page.kakao.com/home?seriesId=54474338,https://dn-img-page.kakao.com/download/resource?kid=bjC4Hr/hyzcEaKN5z/92u3W081uGHVYKXBvq9UKk&filename=th2,카카오페이지,"['이로', '호령', '소설', '실수', '대신']"
1123,미치기 좋은 날[BL],유사,BL,"*미치기 좋은 날[일반판] 입니다

구질구질하고 무료한 일상에 TV 속의 그가 들어왔다! 

<적의 심장, 그를 가지다> 유사 올컬러 연재작!  

아픈 여동생을 위해 고달픈 현실을 살아내고 있는 '호수'의 삶 위로 눈부신 별 하나가 떴다.  
그는 바로 컴백을 앞두고 있던 인기 가수 '이서'. 하지만 이서는 친모라 주장하는 여인이 등장해 돌연 잠적 중이었는데…  
화려함 속 깊이 어떤 상처를 숨기고 신음하던 이서에게 호수는 유일한 위안이 되어 간다.  
그리고 그날 이후로 호수에게선 평범한 하루란 존재하지 않는 날이 되어 버린다….",https://page.kakao.com/home?seriesId=48801332,https://dn-img-page.kakao.com/download/resource?kid=bzq5tQ/hybOXjgXj6/rZALteuuJzSvxkM7MSFsjk&filename=th2,카카오페이지,"['호수', '돌연', '깊이', '가수', '등장']"
