,제목,작가,장르,줄거리,url,썸네일,플랫폼,키워드
2839,도망치는 건 부끄럽지만 도움이 된다,우미노 츠나미,"#드라마
","직업으로서의 결혼은 어떤가요?
모리야마 미쿠리(25세), 남친 없음. 대학원까지 졸업했지만 취직 실패, 비정규직으로 일하다 계약해지, 현재 취업 준비중. 
보다 못한 아버지의 주선으로 싱글남 회사원 츠자키 히라마사(36세)의 가사 도우미로, 일주일에 1회 일하기 시작한다. 
서로에게 쾌적한 관계를 구축한 두 사람이지만, 집안 사정으로 미쿠리가 일을 그만두게 된다. 
현재 상태를 유지하고 싶은 두 사람이 내린 결론은 취직으로서의 결혼, 계약 결혼이었다!
Nigeru wa Haji daga YakunitatsuⓒTsunami Umino 2013
All rights reserved.
First published in Japan in 2013 by Kodansha Ltd., Tokyo
Electronic Publishing rights for this Korean edition arranged through Kodansha Ltd.
",https://www.lezhin.com/ko/comic/running_away_is_helpful,https://ccdn.lezhin.com/v2/comics/5881880923996160/images/tall.jpg?updated=1573721830308&width=840,레진코믹스,"['취직', '계약', '현재', '가사', '남친']"
2840,신부의 바람,아리노 히로시,"#드라마
","최고의 신부가 되기 위한 소녀들의 배틀!!
생선가게집 딸인 여고생 후우카는
신부부 따위는 소꿉장난에 지나지 않는다는 생각으로
신부부의 에이스 후유사키 시즈쿠와의
요리 승부를 승락하지만…
전 일본 신부 선수권을 노리는 소녀들의
뜨거운 청춘이 지금 시작된다!!
",https://www.lezhin.com/ko/comic/bridewind,https://ccdn.lezhin.com/v2/comics/5677850939621376/images/tall.jpg?updated=1449729611378&width=840,레진코믹스,"['드라마', '시작', '선수권', '여고생', '유사']"
2841,쇼보냥,킷카,"#일상
","심쿵주의!!
4컷 만화로 만나는 냥이의 매력!
펫코믹 제2탄 「오줌싸개 고양이 쇼보냥」!!
바보스럽고 겁쟁이에다 툭하면 오줌싸는 울보 고양이 쇼보냥!
하지만 너무나 귀엽고 마음씨도 따뜻해서
곁에 있기만 해도 모두를 행복하게 만들어주는 고양이랍니다!!
쇼보냥과 함께라면, 어느새 우리의 마음도 포근해집니다~
",https://www.lezhin.com/ko/comic/showboneism,https://ccdn.lezhin.com/v2/comics/5658875560198144/images/tall.jpg?updated=1449654530656&width=840,레진코믹스,"['쇼보', '마음씨', '바보', '겁쟁이', '랍니']"
2842,파이팅! 오줌싸개 고양이 쇼보냥,킷카,"#일상
","열심히 노력하지만 금방 실패하고
겁이 많아 금방 오줌 싸기 때문에 기저귀가 필수인
귀여운 고양이 쇼보냥이 돌아왔다! 
카오리와 함께 새 보금자리로 이사하게 된 쇼보냥! 
새로운 장소에 대한 설렘도 잠시, 록과 엉덩이를 좋아하는 옆집의 수줍음 많은 소녀 마야 씨와 그 애완동물 돼지인 팟파, 까마귀 때문에 쇼보냥은 하루도 조용한 날이 없는데?!
마음씨 좋은 집주인 할아버지와 새로운 친구 도마뱀붙이까지!
개성 넘치는 이웃들과 함께하는 카오리와 쇼보냥의 새로운 이야기를 여러분에게 전해드립니다!

",https://www.lezhin.com/ko/comic/shobo_cat,https://ccdn.lezhin.com/v2/comics/4980720460890112/images/tall.jpg?updated=1496305594420&width=840,레진코믹스,"['쇼보', '마야', '마음씨', '수줍음', '엉덩이']"
2843,아뢰옵기 황송하오나,요시와카 에츠코,"#드라마
","아르바이트생인 유자키 리코의 고용주는 다름 아닌 행운의 신!!
""행운의 신""으로서 마을 사람들의 주목을 받는 그는 ""신""인 주제에 유난히 돈에 엄격한데…?!
신사에서 ""신"" 고용주에게 휘둘리는 아르바이트 스타트!!
",https://www.lezhin.com/ko/comic/lucky_god,https://ccdn.lezhin.com/v2/comics/5351208490631168/images/tall.jpg?updated=1482384245412&width=840,레진코믹스,"['신사', '아르바이트', '고용주', '리코', '스타트']"
2844,아저씨 사랑해,유키 리코 外,"#드라마
","아저씨 사랑해는 아름다운 여자와 나이 차이가 있는 꽃중년과의 사랑를 그린 전통 로맨스 작품입니다.

 구성은 아래와 같습니다.

 1. 교복을 벗고
 2. 내 사랑 주정뱅이
 3. 도락탐정의 푸가
 4. 도락탐정은몰 라
 5. 마지막 열차
 6. 맛있는 몸풀기
 7. 밀크&슈가
 8. 블루웨딩
 ...


 ♡ 에로스는 그리스 신화 속 사랑의 신 이름입니다.
",https://www.lezhin.com/ko/comic/loveuncle,https://ccdn.lezhin.com/v2/comics/941/images/tall.jpg?updated=1430723930123&width=840,레진코믹스,"['사랑', '에로스', '교복', '그리스', '도락']"
2845,조난입니까?,"사가라 리리, 오카모토 켄타로","#드라마#유쾌함#우정#성장물
","아무것도 없기에―― 뭐든 만든다!! 뭐든 먹는다!!!! (눈물) 
비행기 사고로 인한, 여고생 4명의 
청춘 무인도 서바이벌!
비행기 사고 때문에….
오늘부터 청춘, 무인도…….
아무것도 없기에――
뭐든 만든다!!
뭐든 먹는다!!!! (눈물)
지혜와 용기의 무인도 여고생 서바이벌,
우리, 꽤 잘 지냅니다!
",https://www.lezhin.com/ko/comic/jonanibnigga,https://ccdn.lezhin.com/v2/comics/5076948104839168/images/tall.jpg?updated=1630391718362&width=840,레진코믹스,"['사고', '성장', '눈물', '무인도', '비행기']"
2846,새로운 상사는 귀여운 허당,이치카와 단,"#코믹#리맨물#힐링물#일상
","귀여워서 힐링이 되는 상사를 만났다!
갑질 상사로 인해 마음과 위에 병을 얻어 이직한 모모세.
“이번 상사도 갑질 상사면 어떡하지……?”
하지만 그런 불안 따위 날려버릴 만큼 새로운 상사는 예측불허였는데?!
일할 땐 완벽해 보이는 그가 사실은……
귀여운… 허당……?!
엉뚱하고 귀여운 허당 상사와
즐겁게 힐링하는 직장 생활!!
",https://www.lezhin.com/ko/comic/cuteboss,https://ccdn.lezhin.com/v2/comics/6448045417103360/images/tall.jpg?updated=1624524538589&width=840,레진코믹스,"['상사', '마음', '상사면', '모세', '불안']"
2847,북극의 밤,정연,"#판타지#드라마#미스터리#잔혹#스릴러
","15세의 나이로 카프카 상을 거머쥔 천재 소녀 도현. 하지만 그녀에게 쏟아지는 찬사와 갈채 속에는 날이 선 비수가 숨겨져 있다. 그녀와 스승 희로 사이에는 풀지 못한 악연이 계속 쌓여 가는데…
",https://www.lezhin.com/ko/comic/arctic_night,https://ccdn.lezhin.com/v2/comics/4573520562814976/images/tall.jpg?updated=1610441063324&width=840,레진코믹스,"['드라마', '소녀', '스릴러', '찬사', '천재']"
2848,아야카시코,히지키,"#일상
","요괴들이 사는 공동 주택, 통칭 ‘아야카시장’.
 돈은 없지만 먹보 자시키와라시와 장난을 좋아하는 여우 요괴, 
냉장고에 사는 설녀 등등, 제멋대로 살아가는 주민들의 시끌벅적 즐거운 나날―. 
요괴가 있는 일상에 오신 걸 환영합니다.
",https://www.lezhin.com/ko/comic/ayakashiko,https://ccdn.lezhin.com/v2/comics/5704351333023744/images/tall.jpg?updated=1623214836317&width=840,레진코믹스,"['냉장고', '먹보', '요괴', '공동', '오신']"
2849,독신,대귀,"#드라마
","연애경험 제로! 29년을 모태솔로 오타쿠로 살아온 신아는
 어느 날 엄마로부터 갑작스러운 맞선을 요구 당하게 된다.
 “결혼? 절대 안 해! 환상 속에 갇혀 사는 게 백만 배 더 나아!”
 과연 그녀에게 2D를 뛰어넘는 남자란 존재하는 것일까?
",https://www.lezhin.com/ko/comic/single_blessed,https://ccdn.lezhin.com/v2/comics/4521748756037632/images/tall.jpg?updated=1571293506342&width=840,레진코믹스,"['결혼', '백만', '절대', '존재', '환상']"
2850,어덕행덕,"유, 령","#일상
","어차피 덕질 할 거 행복하게 덕질하자!
팬이라고 다 같은 팬이 아니다?!
오빠들을 위해 무려 바다까지 건너온 중국인 유학생 탕탕.
새벽부터 일어나 오빠들과 스탭들 도시락 싸기, 팬싸에 참가하기 위해 앨범 사들이기, 댓글 관리, 커뮤니티에 멤버들 사인받아 올리기...
그룹 HT의 홈마 탕탕은 오늘도 우리 오빠들 챙기기에 여념이 없다. 
매니저보다 더 매니저 같고 엄마 보다 더 엄마같은 홈마스터 탕탕의 세상 행복한 덕질이 시작된다.
",https://www.lezhin.com/ko/comic/eodeok_haengdeok,https://ccdn.lezhin.com/v2/comics/5735687394820096/images/tall.jpg?updated=1576120998418&width=840,레진코믹스,"['덕질', '매니저', '세상', '시작', '엄마']"
2851,전하는 말,마치다 토시코,"#미스터리
","청춘은 아찔하도록 잔혹하다. 한 소년의 ‘죽음’을 계기로 ‘보이지 않던 마음’이 움직이기 시작한다―. 
드라마틱한 청춘 미스터리!! 
어느 날 남고생 사하라는 교통사고를 당해 사망한다. 그런데 그 죽음은 우연한 사고가 아니었다!! 
그 사건을 계기로 급우들의 진심, 그리고 새로운 사실이 보이기 시작하는데―!!
",https://www.lezhin.com/ko/comic/pass_remark,https://ccdn.lezhin.com/v2/comics/6528267318263808/images/tall.jpg?updated=1573456349164&width=840,레진코믹스,"['죽음', '계기', '시작', '청춘', '교통사고']"
2852,7억 엔을 받으면~리벤지~,"야나기사와 다이키, 키모토 노리코","#드라마
","엄마에게 학대를 받으며 자란 이리마 유키.
엄마가 뜨거운 다리미로 얼굴에 화상을 입혀 항상 불안해하면서 살아왔다.
그런 유키가 필사적으로 원했던 것은 평온한 생활.
하지만 주변의 괴롭힘과 편견 때문에 작은 행복마저 빼앗기고 마는데!
추녀도 돈만 있으면 나쁜 놈들에게 복수할 수 있는 것일까?
엄마와 딸의 애증을 바탕으로 한 서스펜스&리벤지 스토리!
ⓒ NORIKO KIMOTO, DAIKI YANAGISAWA / BUNKASHA
",https://www.lezhin.com/ko/comic/700000000,https://ccdn.lezhin.com/v2/comics/5375863349706752/images/tall.jpg?updated=1554790750837&width=840,레진코믹스,"['엄마', '다리미', '드라마', '얼굴', '학대']"
2853,도마 위의 전쟁,허이,"#드라마
","전설이 아닌 사실이다. 진시황이 영원한 통치를 이루기 위해 만들었던 장생의 선보는 정말 존재했다. 그리고 수천 년 후의 화하, 요리천재 콩이가 드디어 절에서 나와 진시황의 식단을 찾아 떠나는데, 지나는 곳마다 아찔한 요리대결이 펼쳐졌다. 목숨을 걸고 하는 음식겨루기, 그것은 분명 요리대결의 탈을 쓴 도마 위의 전쟁이었다!
ⓒSHANGMAN
",https://www.lezhin.com/ko/comic/chefs_of_war,https://ccdn.lezhin.com/v2/comics/6675400561000448/images/tall.jpg?updated=1555395503497&width=840,레진코믹스,"['대결', '요리', '드라마', '장생', '전설']"
2854,두 얼굴의 아씨,"Ms.K, 유안, 영거","#드라마
","은혜와 원한이 끊임없이 뒤바뀌는 이곳은 무림.
아버지의 호송사업을 물려받고자 줄곧 무술을 연마해 온 안가의 아씨 유릉. 하지만 한낱 계집의 몸으로 태어나 인정을 받지 못하는 신세였다.
어느날 문뜩, 중요한 청탁이 있다며 찾아온 맹주의 조카를 만나고, 남장을 하여 호송 임무를 수행하려 다짐한다.
ⓒMaimeng Comic
",https://www.lezhin.com/ko/comic/a_two_faced_lady,https://ccdn.lezhin.com/v2/comics/5846879529205760/images/tall.jpg?updated=1535699718408&width=840,레진코믹스,"['호송', '아버지', '계집', '드라마', '무술']"
2855,피앙세 대소동,요나,"#드라마
","스위스에서 벌어지는 형형색색의 사랑 이야기 1탄!
스위스의 작은 마을, 슈테른 안 데아 타이스.
유리안과 루트는 결혼을 앞두고 있다.
남부러울 것 없는 명가의 후계자 유리안과 어렸을 때부터 함께한 사이이지만
열렬하게 청혼하는 유리안에게서 정작 사랑의 고백 한마디 들어본 적 없는 루트는
결혼이 다가오면서 점점 불안한 마음을 감출 길 없고
그런 루트를 안타깝게 바라보는 동생 레오니는 유리안의 사촌 루카와 함께
결혼식을 통해 유리안의 진심을 끌어내고자 하는데….

",https://www.lezhin.com/ko/comic/happily_ever_after_with_fiance,https://ccdn.lezhin.com/v2/comics/5759096245714944/images/tall.jpg?updated=1487900393238&width=840,레진코믹스,"['루트', '결혼', '사랑', '안과', '유리']"
2856,멍멍이와 주인님,정기,"#드라마
","멍멍이와 주인님의 이야기
",https://www.lezhin.com/ko/comic/im_your_dog,https://ccdn.lezhin.com/v2/comics/5038571884118016/images/tall.jpg?updated=1519295714650&width=840,레진코믹스,"['드라마', '이야기', '주인']"
2857,여탕일기,후지타 미키,"#드라마
","나고야 : 요즘엔 생활의 일부라기보다는
에도 서민문화의 하나로 여기게 된 목욕탕.
작가 본인이 목욕탕의 매력에 빠져 만난 18개의 목욕탕,
거기다 남자 금제구역 「여탕」의 모습을 위트있게 레포트.
섬세한 만화와 기사로 구성된 목욕탕 에세이 만화.
",https://www.lezhin.com/ko/comic/women_bath_diary,https://ccdn.lezhin.com/v2/comics/4621493074788352/images/tall.jpg?updated=1556105878549&width=840,레진코믹스,"['목욕탕', '기사', '남자', '레포트', '만화']"
