,제목,키워드,플랫폼
103,나만 아는 사랑 ,"['하리', '사랑', '친구', '시작', '진호']",카카오웹툰
104,유리의 벽 ,"['로맨스', '귀족', '만난', '시작', '판타지']",카카오웹툰
105,바리공주 ,"['바리공주', '무당', '무속', '바리', '감동']",카카오웹툰
106,허니 블러드 ,"['이유', '뱀파이어', '시궁창', '인간', '페테슈']",카카오웹툰
107,도박중독자의 가족 ,"['린다', '가족', '중독', '드라마', '처음']",카카오웹툰
108,열무와 알타리 ,"['이야기', '뇌성마비', '쌍둥이', '열무', '장애']",카카오웹툰
109,우리 청춘의 사랑은 ,"['자극', '청춘', '사랑', '세포', '시작']",카카오웹툰
110,닭은 의외로 위대하다 ,"['할머니', '좀비', '천재', '마을', '시대']",카카오웹툰
111,귀의하나이다 ,"['인간', '제석천', '세상', '번뇌', '후계']",카카오웹툰
112,드라코런 ,"['최고', '해리', '드래곤', '라이더', '기사']",카카오웹툰
113,날씨의 요정 ,"['시골', '마을', '소년', '겨울', '기우제']",카카오웹툰
114,키몽의 호구로운 생활 ,"['이야기', '개그', '건축학', '매일', '생활']",카카오웹툰
115,플러스 마이너스 제로 ,"['공포', '스릴러', '지진', '학교']",카카오웹툰
116,너를 죽이는 방법 ,"['아내', '남자', '서진', '유명', '정체']",카카오웹툰
117,로엘린은 미래를 걷는다 ,"['엘린', '가문', '미래', '사고', '아버지']",카카오웹툰
118,신락도 ,"['정훈', '환자', '치료', '새벽', '기도']",카카오웹툰
119,케어시트 ,"['이윤', '동물', '공포증', '상일', '여신']",카카오웹툰
120,천 개의 달이 뜨면 ,"['마을', '사고', '영은', '천사', '늑대']",카카오웹툰
121,더 챌린저 ,"['현실', '드라마', '땅바닥', '판타지', '호칭']",카카오웹툰
122,파륜아이 ,"['과거', '우주', '부모', '살인자', '얼굴']",카카오웹툰
123,생사결: 여래의 복수 ,"['강호', '고수', '막강', '무공', '무림']",카카오웹툰
124,소녀신선 ,"['이무기', '판타지', '드라마', '버들', '성질']",카카오웹툰
125,백작가의 불청객들 ,"['평화', '서로', '부부', '백작', '오해']",카카오웹툰
126,샤크 ,"['무협', '가해자', '폭력', '피해자', '학원']",카카오웹툰
127,그때 우리가 조아한 ,"['아란', '상고', '소설', '인터넷', '세계']",카카오웹툰
128,순정 히포크라테스 ,"['의대', '공대', '의식', '드라마', '의사']",카카오웹툰
129,허약선생 ,"['무림', '수치', '제자', '가의', '선생']",카카오웹툰
130,반지하셋방 ,"['자매', '일상', '반지하', '세상', '해고']",카카오웹툰
131,너에게 가는 거리 2091km ,"['여행', '가득', '한국', '뤄밍', '무료']",카카오웹툰
132,멀리서 보면 푸른 봄 ,"['드라마', '고단', '일드', '청춘', '하드']",카카오웹툰
133,할매 ,"['숙자', '손자', '연우', '주검', '주인공']",카카오웹툰
134,며느라기 ,"['사린', '결혼', '며느리', '제도', '존재']",카카오웹툰
135,우리반 숙경이 ,"['숙경', '학생', '다운', '일상', '자리']",카카오웹툰
136,나의 추락이 찬란하도록 ,"['이스', '요양', '로맨스', '시엘', '시해']",카카오웹툰
137,후궁공략 ,"['게임', '황후', '가상현실', '공략', '후궁']",카카오웹툰
138,랑데부 ,"['옥상', '강탈', '무리', '학원', '집단']",카카오웹툰
139,번아웃쇼크 ,"['라이', '실험', '마피', '가야', '대원']",카카오웹툰
140,극락왕생 ,"['도명', '인간', '귀신', '극락', '윤회']",카카오웹툰
141,복무신조 : 우리의 결의 ,"['감염', '군부', '무기', '바이러스', '북한']",카카오웹툰
142,이렇게 바보일리 없어 ,"['비밀', '연애', '탄생석', '기숙사', '도하']",카카오웹툰
143,어린 (물고기 비늘) ,"['남극', '사단', '이온', '탐사', '기지']",카카오웹툰
144,이세계 전담반 ,"['능력', '일상', '난입', '느낌', '다짜고짜']",카카오웹툰
145,레드라인 ,"['반란', '위기', '블루', '전쟁', '학원']",카카오웹툰
146,선택은 하나 ,"['선재', '선택', '미래', '고백', '커플']",카카오웹툰
147,이뤄질 수 없는 마녀의 소망 ,"['이델', '카이델', '대화재', '사건', '백작']",카카오웹툰
148,부기영화 ,"['리뷰', '병맛', '일상', '코믹']",카카오웹툰
149,샤먼 ,"['인간', '정령', '커스', '정부', '시작']",카카오웹툰
150,별똥별이 떨어지는 그 곳에서 기다려 ,"['죽음', '플로', '비비', '마녀', '별똥별']",카카오웹툰
151,청년혁명전 ,"['남창', '회원', '동호회', '드라마', '괴한']",카카오웹툰
152,"주문을 말해, 로즈! ","['저택', '눈앞', '마법사', '세계', '아가']",카카오웹툰
153,사랑의 순간 ,"['개월', '기분', '선하', '계집애', '사랑']",카카오웹툰
154,가드패스 ,"['세준', '일진', '학원', '운동', '하진']",카카오웹툰
155,남의 사랑 이야기 ,"['사랑', '감정', '건너', '남자친구', '부담']",카카오웹툰
156,씨방것들 ,"['공기', '가족', '관심', '방송', '병적']",카카오웹툰
157,배고픈 킬러 ,"['살기', '킬러', '당황', '남자', '성격']",카카오웹툰
158,그 아해 ,"['환자', '중인', '공포', '목격', '생활']",카카오웹툰
159,질투유발자들 ,"['상대', '운영', '입사', '고백', '방송']",카카오웹툰
160,뒤끝작렬 ,"['토끼', '마리', '가의', '급작', '당한']",카카오웹툰
161,퍼펙트 마인 ,"['나비', '로맨스', '달라', '모자', '장면']",카카오웹툰
162,계단 ,"['노인', '계단', '의료', '말리', '사망']",카카오웹툰
163,D-30 ,"['전학', '결승전', '불명', '상태', '의식']",카카오웹툰
164,우범소년 ,"['가해자', '학생', '성원', '복수', '달라']",카카오웹툰
165,이상징후 ,"['현상', '연구원', '치료', '소장', '연구']",카카오웹툰
166,무법대학 ,"['오정', '이용', '정서', '스카우트', '경호']",카카오웹툰
167,복원가의 집 ,"['거대', '불청객', '고교', '드라마', '대손']",카카오웹툰
168,일진에게 찍혔을 때 ,"['갑자기', '거기', '남친', '로맨스', '마이']",카카오웹툰
169,크라우드 ,"['일진', '규현', '울타리', '복수', '설상가상']",카카오웹툰
170,간지몬스터 ,"['학교', '몬스터', '부캐', '간지', '괴롭힘']",카카오웹툰
171,트레이스 리마스터 ,"['트레이스', '학원', '생존', '싸움', '인간']",카카오웹툰
172,미래의 사진 ,"['주영', '카메라', '미래', '로맨스', '결심']",카카오웹툰
173,리매치  ,"['복싱', '마음', '친구', '아버지', '체육관']",카카오웹툰
174,내일도 출근! ,"['연애', '휴식', '회사', '믹스', '식사']",카카오웹툰
175,슬프게도 이게 내 인생 ,"['노력', '생활', '이야기', '직장', '일상']",카카오웹툰
176,언데드킹 ,"['강시', '좀비', '세상', '시체', '시작']",카카오웹툰
177,트레이스 ,"['인간', '트러블', '시작', '공격', '능력자']",카카오웹툰
178,블랙 베히모스 ,"['시험', '리스', '판타지', '사적', '자꾸만']",카카오웹툰
179,눈이 나려 꽃 ,"['아들', '재녀', '진효', '짝사랑', '황궁']",카카오웹툰
180,적당한 온도 ,"['드라마', '민지', '얼굴', '이름', '온도']",카카오웹툰
181,귀싸대기 ,"['내면', '능력', '흥신소', '태평', '현재']",카카오웹툰
182,우정으로 결혼한 소꿉친구 ,"['소꿉친구', '소연', '결혼', '로맨틱', '세포']",카카오웹툰
183,단두 (斷頭) ,"['단영', '여정', '사주', '무협', '원수']",카카오웹툰
184,좁은 방 ,"['다예', '학원', '친구', '옆방', '외로움']",카카오웹툰
185,구원 ,"['카피', '미나', '레지스탕스', '로서', '사투']",카카오웹툰
186,내가 죄인이오 ,"['팽이', '복희', '조직', '두부', '마약']",카카오웹툰
187,우리 동네 삐- ,"['남자', '동네', '나무', '외출', '스토커']",카카오웹툰
188,샤먼 트리트먼트 ,"['무당', '거수', '의기', '지척', '투족']",카카오웹툰
189,살어리랏다 ,"['청산', '전당포', '교수', '살인', '강행']",카카오웹툰
190,크레센도 ,"['기범', '교수', '혜라', '열등감', '재능']",카카오웹툰
191,김탐정 사용설명서 ,"['기계', '치료', '가족', '로만', '시신']",카카오웹툰
192,미완결 ,"['동경', '예술', '상대', '배우', '강렬']",카카오웹툰
193,괜찮은 관계 ,"['고민', '로맨스', '연애', '지원', '중인']",카카오웹툰
194,쥐덫 ,"['오산', '모델', '백설', '인터넷', '현실']",카카오웹툰
195,이토록 보통의 ,"['거짓', '민낯', '맞이', '버스', '보통']",카카오웹툰
196,백의조각 ,"['백의', '일부', '신체', '일가', '선택']",카카오웹툰
197,L.A.G ,"['공간', '스킬', '능력', '최하', '탈출']",카카오웹툰
198,"황녀, 반역자를 각인시키다 ","['루스', '황실', '미카엘', '이자', '감옥']",카카오웹툰
199,록사나 : 여주인공의 오빠를 지키는 방법 ,"['주인공', '기어이', '납치', '누나', '서브']",카카오웹툰
200,루시아 ,"['인생', '꿈속', '바람둥이', '생활', '결혼']",카카오웹툰
201,화홍 ,"['연희', '세자빈', '아씨', '전하', '세자']",카카오웹툰
202,이번 생은 가주가 되겠습니다 ,"['가문', '그대로', '문화', '티아', '당첨']",카카오웹툰
203,사내 맞선 ,"['맞선', '로맨스', '회사', '다짜고짜', '결혼']",카카오웹툰
204,세이렌: 악당과 계약가족이 되었다 ,"['결혼', '아리아', '악마', '공자', '쪽지']",카카오웹툰
205,남주를 주웠더니 남편이 생겨버렸다 ,"['공작', '웨르', '별명', '사례금', '데리']",카카오웹툰
206,그녀와 야수 ,"['오드', '테리', '티나', '로맨스', '괴물']",카카오웹툰
207,불패검선 ,"['산수화', '아들', '각성', '부모', '살이']",카카오웹툰
208,4000년 만에 귀환한 대마도사 ,"['레이크', '열등생', '프레이', '선택', '영혼']",카카오웹툰
209,레벨업 못하는 플레이어 ,"['레벨', '액션', '게이트', '누가', '무협']",카카오웹툰
210,그 악녀를 조심하세요! ,"['눈물', '원작', '여주', '똥차', '공인']",카카오웹툰
211,나는 이 집 아이 ,"['아버지', '거래', '대신', '공작', '부자']",카카오웹툰
212,하필이면 까마귀가 되어버렸다 ,"['레이', '황태자', '원작', '일부', '안녕']",카카오웹툰
213,8클래스 마법사의 회귀 ,"['그나', '제국', '마법사', '클래스', '마법']",카카오웹툰
214,이건 명백한 사기결혼이다 ,"['결혼', '조건', '남자', '레이드', '살인']",카카오웹툰
215,화산권마 ,"['무인', '마을', '무협', '습격', '액션']",카카오웹툰
216,뽑기로 강해진 SSS급 헌터 ,"['스킬', '인생', '부어', '각성', '게임']",카카오웹툰
217,더 라이브 ,"['미래', '윤재', '세계', '불의', '일기장']",카카오웹툰
218,비선실세 레이디 ,"['언니', '하렘', '여주', '얼굴', '선고']",카카오웹툰
219,튜토리얼이 너무 어렵다 ,"['노력', '비밀', '성장', '주인공', '클리어']",카카오웹툰
220,무협지 최고 악당의 귀한 딸입니다 ,"['무협지', '빠빠', '로맨스', '무공', '악당']",카카오웹툰
221,적기사는 눈먼 돈을 좇지 않는다 ,"['디트', '로맨스', '판타지', '과거', '사가']",카카오웹툰
222,혼자 레벨업 합니다 ,"['몬스터', '불망', '각성', '레벨', '웬일']",카카오웹툰
223,"천마, 리치왕의 무림을 부수다 ","['공존', '대결', '뒤엎', '무공', '무협']",카카오웹툰
224,학사재생 ,"['천하', '사내', '달리', '인생', '집안']",카카오웹툰
225,막장드라마의 제왕 ,"['드라마', '막장', '점점', '현석', '회귀']",카카오웹툰
226,정령의 펜던트 ,"['아카데미', '환시', '바율', '생활', '입학']",카카오웹툰
227,오늘부터 황녀?! ,"['로맨스', '마왕', '시궁창', '달성', '사명']",카카오웹툰
228,레이디 생존의 법칙 ,"['죽음', '로맨스', '번의', '생일', '스물']",카카오웹툰
229, 핸드메이드 ,"['하녀', '하미', '회귀', '비밀', '바늘']",카카오웹툰
230,망할 가문을 살려보겠습니다 ,"['가문', '멸문', '역적', '비명', '빙의']",카카오웹툰
231,아도니스 ,"['반복', '끝내', '상대', '싸움', '아르']",카카오웹툰
232,책 먹는 마법사 ,"['글러', '사용자', '마도', '액션', '왼손']",카카오웹툰
233,우선 남동생부터 숨기자 ,"['누나', '만화', '일수', '다공', '피폐']",카카오웹툰
234,모시던 아가씨가 도련님이 되어버렸다 ,"['원작', '가족', '남자', '블레', '도련님']",카카오웹툰
235,만렙 영웅님께서 귀환하신다! ,"['왕자', '골방', '도착', '영웅', '천년']",카카오웹툰
236,에스티오 ,"['에스티', '동물', '마음', '맞이', '시작']",카카오웹툰
237,악녀는 두 번 산다 ,"['대공', '드릭', '그대', '아르', '황제']",카카오웹툰
