,제목,키워드
130,너에게 가는 거리 2091km ,"['여행', '가득', '한국', '뤄밍', '무료']"
131,멀리서 보면 푸른 봄 ,"['드라마', '고단', '일드', '청춘', '하드']"
132,할매 ,"['숙자', '손자', '연우', '주검', '주인공']"
133,며느라기 ,"['사린', '결혼', '며느리', '제도', '존재']"
134,우리반 숙경이 ,"['숙경', '학생', '다운', '일상', '자리']"
135,나의 추락이 찬란하도록 ,"['이스', '요양', '로맨스', '시엘', '시해']"
136,후궁공략 ,"['게임', '황후', '가상현실', '공략', '후궁']"
137,랑데부 ,"['옥상', '강탈', '무리', '학원', '집단']"
138,번아웃쇼크 ,"['라이', '실험', '마피', '가야', '대원']"
139,극락왕생 ,"['도명', '인간', '귀신', '극락', '윤회']"
140,복무신조 : 우리의 결의 ,"['감염', '군부', '무기', '바이러스', '북한']"
141,이렇게 바보일리 없어 ,"['비밀', '연애', '탄생석', '기숙사', '도하']"
142,어린 (물고기 비늘) ,"['남극', '사단', '이온', '탐사', '기지']"
143,이세계 전담반 ,"['능력', '일상', '난입', '느낌', '다짜고짜']"
144,레드라인 ,"['반란', '위기', '블루', '전쟁', '학원']"
145,선택은 하나 ,"['선재', '선택', '미래', '고백', '커플']"
146,이뤄질 수 없는 마녀의 소망 ,"['이델', '카이델', '대화재', '사건', '백작']"
147,부기영화 ,"['리뷰', '병맛', '일상', '코믹']"
148,샤먼 ,"['인간', '정령', '커스', '정부', '시작']"
149,별똥별이 떨어지는 그 곳에서 기다려 ,"['죽음', '플로', '비비', '마녀', '별똥별']"
150,청년혁명전 ,"['남창', '회원', '동호회', '드라마', '괴한']"
151,"주문을 말해, 로즈! ","['저택', '눈앞', '마법사', '세계', '아가']"
152,사랑의 순간 ,"['개월', '기분', '선하', '계집애', '사랑']"
153,가드패스 ,"['세준', '일진', '학원', '운동', '하진']"
154,남의 사랑 이야기 ,"['사랑', '감정', '건너', '남자친구', '부담']"
155,씨방것들 ,"['공기', '가족', '관심', '방송', '병적']"
156,배고픈 킬러 ,"['살기', '킬러', '당황', '남자', '성격']"
157,그 아해 ,"['환자', '중인', '공포', '목격', '생활']"
158,질투유발자들 ,"['상대', '운영', '입사', '고백', '방송']"
159,뒤끝작렬 ,"['토끼', '마리', '가의', '급작', '당한']"
160,퍼펙트 마인 ,"['나비', '로맨스', '달라', '모자', '장면']"
161,계단 ,"['노인', '계단', '의료', '말리', '사망']"
162,D-30 ,"['전학', '결승전', '불명', '상태', '의식']"
163,우범소년 ,"['가해자', '학생', '성원', '복수', '달라']"
164,이상징후 ,"['현상', '연구원', '치료', '소장', '연구']"
165,무법대학 ,"['오정', '이용', '정서', '스카우트', '경호']"
166,복원가의 집 ,"['거대', '불청객', '고교', '드라마', '대손']"
167,일진에게 찍혔을 때 ,"['갑자기', '거기', '남친', '로맨스', '마이']"
168,크라우드 ,"['일진', '규현', '울타리', '복수', '설상가상']"
169,간지몬스터 ,"['학교', '몬스터', '부캐', '간지', '괴롭힘']"
170,트레이스 리마스터 ,"['트레이스', '학원', '생존', '싸움', '인간']"
171,미래의 사진 ,"['주영', '카메라', '미래', '로맨스', '결심']"
172,리매치  ,"['복싱', '마음', '친구', '아버지', '체육관']"
173,내일도 출근! ,"['연애', '휴식', '회사', '믹스', '식사']"
174,슬프게도 이게 내 인생 ,"['노력', '생활', '이야기', '직장', '일상']"
175,언데드킹 ,"['강시', '좀비', '세상', '시체', '시작']"
176,트레이스 ,"['인간', '트러블', '시작', '공격', '능력자']"
177,블랙 베히모스 ,"['시험', '리스', '판타지', '사적', '자꾸만']"
